x,y,z
-1.169041395571287E+05,-3.093801298716391E+05,-2.865460327826736E+04
-1.172337127588449E+05,-3.122854020211211E+05,-2.891160564166171E+04
-1.175511635877584E+05,-3.151475492920559E+05,-2.916477545926406E+04
-1.178570614636856E+05,-3.179672421708196E+05,-2.941418650109973E+04
-1.181519774943397E+05,-3.207451241316473E+05,-2.965991082861238E+04
-1.184364872463801E+05,-3.234818127699367E+05,-2.990201901462984E+04
-1.187143464820054E+05,-3.261764495372814E+05,-3.014267884202044E+04
-1.190500280979065E+05,-3.288004570100550E+05,-3.042427042420204E+04
-1.193119176626310E+05,-3.314147943103932E+05,-3.065934112812339E+04
-1.195658118463410E+05,-3.339901734051221E+05,-3.089105918601151E+04
-1.198123610557627E+05,-3.365270948122733E+05,-3.111949061633705E+04
-1.200522440240176E+05,-3.390260367675454E+05,-3.134470142185608E+04
-1.202861738257528E+05,-3.414874551246234E+05,-3.156675790816495E+04
-1.205149048775645E+05,-3.439117829590742E+05,-3.178572703999163E+04
-1.207392411625223E+05,-3.462994298070680E+05,-3.200167684524442E+04
-1.209600459835138E+05,-3.486507804423185E+05,-3.221467687921705E+04
-1.211751041541882E+05,-3.509679666155531E+05,-3.242937675305989E+04
-1.213915244745571E+05,-3.532480919401940E+05,-3.263720918294248E+04
-1.216074789734655E+05,-3.554929155283307E+05,-3.284234443743846E+04
-1.218188639969640E+05,-3.577045773756945E+05,-3.303651096734228E+04
-1.220320053387126E+05,-3.598815330780694E+05,-3.322751619601931E+04
-1.222488896092300E+05,-3.620237878748578E+05,-3.341609079006453E+04
-1.224713106023682E+05,-3.641314530295981E+05,-3.360233994603540E+04
-1.227013550295627E+05,-3.662045464704008E+05,-3.378637180274211E+04
-1.229414652156471E+05,-3.682429497883262E+05,-3.396831750449752E+04
-1.231945036980620E+05,-3.702464095372079E+05,-3.414833005362404E+04
-1.234639192836895E+05,-3.722144521530022E+05,-3.432658577515095E+04
-1.237539116493994E+05,-3.741463041145793E+05,-3.450329326685192E+04
-1.240696803310732E+05,-3.760407534820312E+05,-3.467870411781518E+04
-1.244177828341593E+05,-3.778959265709419E+05,-3.485312819375700E+04
-1.248066620528917E+05,-3.797089142076869E+05,-3.502695607000226E+04
